Customer_ID,Date,Product,Price,Product Category ,Location
Joshuah,3/24/2025,Mediterranean Chickpea Salad,5.99,Food - Salads,39.154.249.59
Baxy,6/16/2025,Set of Decorative Storage Bins,34.99,Home,208.18.27.33
Casar,10/21/2024,Eco-Friendly Cleaning Cloths,12.99,Home,145.255.161.108
Ruthanne,5/4/2025,Basil Lemonade,2.99,Food - Beverages,184.4.45.1
Gunter,10/8/2024,Creamy Avocado Dip,3.49,Food - Snacks,152.216.220.19
Tallulah,2/12/2025,Portable Solar Generator,399.99,Outdoor,232.209.82.91
Ryley,11/4/2024,Animal Paw Print Soap Dispenser,16.99,Home,24.52.167.223
Courtnay,6/2/2025,Gardening Tool Belt,22.99,Garden,20.58.136.83
Roddy,6/13/2025,Frozen Hash Browns,2.99,Food - Frozen Foods,41.24.37.93
Melantha,3/1/2025,Chili Powder,2.09,Food - Spices,240.206.114.183
Brade,4/26/2025,Organic Honeycrisp Apples,1.99,Food - Fruits,9.75.68.11
Elana,5/21/2025,Beef Enchilada Casserole,8.99,Food - Prepared Meals,245.171.78.248
Antonius,10/26/2024,Drone,249.99,Electronics,13.61.235.103
Jacquetta,3/2/2025,Cacao Nibs,6.49,Food - Baking,126.137.162.68
Raimundo,2/7/2025,Ice Cube Tray with Lid,10.99,Kitchen,116.208.202.38
Aeriell,10/17/2024,Outdoor Fire Pit,149.99,Outdoor,168.118.142.196
Timotheus,1/12/2025,Multi-Tool,39.99,Outdoor,44.129.117.163
Vernice,10/27/2024,Black Olives,1.99,Food - Canned Goods,43.25.15.181
Aldwin,2/21/2025,Noise Reduction Headphones,39.99,Audio,197.175.12.232
Mignon,1/25/2025,Electric Toothbrush Holder,14.99,Health,65.89.69.55
Arielle,4/8/2025,Oven Mitts with Pocket,19.99,Kitchen,91.107.72.125
Alvina,2/2/2025,Folding Backpack Chair,49.99,Outdoor,153.222.115.154
Joana,10/17/2024,Gardening Fairy Figurines,14.99,Garden,140.188.145.12
Jens,9/4/2024,Luxe Velvet Blazer,89.99,Clothing - Outerwear,52.91.214.79
Gaye,1/17/2025,Baby Monitor,79.99,Baby,52.226.195.212
Skyler,7/20/2024,Vegan Taco Seasoning,2.49,Food - Spices,253.183.142.255
Caprice,1/13/2025,Outdoor Picnic Blanket,34.99,Outdoor,157.109.213.37
Bertha,7/17/2024,Artisan Pickles,2.49,Food - Condiments,205.168.206.198
Boycie,4/29/2025,Mediterranean Chickpea Salad,5.99,Food - Salads,242.165.225.77
Basilio,11/12/2024,Peanut Butter Filled Pretzels,3.99,Food - Snacks,108.114.207.24
Zita,2/7/2025,Electric Air Pump,29.99,Outdoor,127.12.53.176
Aldin,5/14/2025,Ergonomic Gaming Chair,199.99,Gaming,78.180.126.28
Lindy,11/18/2024,Cheddar & Bacon Potato Skins,7.49,Food - Frozen,104.91.182.75
Gene,11/25/2024,Coconut Almond Granola,4.99,Food - Breakfast,10.69.244.183
Audy,10/1/2024,Puffed Rice Cake,2.49,Food - Snacks,219.85.80.107
Christie,6/29/2025,Sliced Ham,5.49,Food - Meat,152.239.128.88
Lucy,4/30/2025,Almond Flour Tortillas,4.99,Food - Baking & Cooking,120.111.225.100
Gil,10/26/2024,Portable Jump Starter,59.99,Automotive,30.65.213.119
Sigismundo,4/5/2025,Portable Phone Charger,29.99,Accessories,139.57.54.150
Carr,2/1/2025,Adjustable Garden Rake,22.99,Garden,172.144.50.109
Edan,9/16/2024,Warm Knit Beanie,19.99,Clothing - Accessories,218.74.19.47
Dulcie,12/31/2024,Decorative LED Neon Sign,45.99,Home,67.154.227.181
Milka,1/17/2025,Spicy Roasted Nuts,4.99,Food - Snacks,189.79.49.111
Ericha,2/20/2025,Potting Soil,15.99,Garden,216.203.75.47
Wolfie,2/9/2025,Vegetable Sushi Rolls,5.99,Food - Prepared Meals,228.123.190.144
Prissie,11/2/2024,Spicy Tuna Rolls,6.49,Food - Seafood,225.235.250.9
Martguerita,1/2/2025,Pest Control Traps,22.99,Home,180.103.16.250
Dorian,10/6/2024,Kids' Activity Book,14.99,Books,97.249.41.21
Maxine,9/10/2024,Plant Growing Kit,22.99,Garden,189.226.142.236
Hershel,5/28/2025,Gardening Kneeler and Seat,39.99,Garden,85.100.13.51
Walton,5/12/2025,Zucchini,0.79,Food - Produce,119.56.53.55
Katerina,12/12/2024,Silicone Stretch Lids,14.99,Kitchen,128.180.114.75
Fielding,10/14/2024,Fitness Smartwatch,99.99,Wearable Tech,41.167.76.212
Derward,5/25/2025,Electric Heating Pad,20.99,Health,137.97.6.87
Guillemette,9/3/2024,Organic Quinoa,4.29,Food - Grains,181.31.3.105
Saundra,10/29/2024,Pocket Blanket,24.99,Outdoor,8.178.63.164
Cyb,12/1/2024,Microwave Popcorn Maker,19.99,Kitchen,21.232.60.36
Christabella,4/8/2025,Asian Salad Mix,3.99,Food - Produce,244.165.79.47
Teresa,7/29/2024,Compact Pop-Up Tent,69.99,Outdoor,183.74.249.150
Kim,4/6/2025,Foot Spa Bath Massager,59.99,Health,110.184.152.58
Beniamino,12/5/2024,Spicy Garlic Edamame,3.99,Food - Snacks,127.226.129.154
Halette,10/13/2024,Weighted Jump Rope with Counter,14.99,Fitness,218.249.1.141
Romeo,7/24/2024,Children's Educational Puzzle,19.99,Toys,253.253.27.101
Biddie,10/13/2024,Face Mask Set,19.99,Health,242.105.12.234
Charlotta,7/13/2024,Peach & Mango Salsa,4.49,Food - Snacks,68.197.219.212
Florenza,12/26/2024,Electric Knife,39.99,Kitchen,93.239.204.128
Mariana,8/6/2024,BBQ Jackfruit,4.29,Food - Prepared Foods,161.65.108.35
Daune,11/23/2024,Electric Kettle,39.99,Kitchen,178.8.59.96
Tatiana,10/20/2024,Puzzle,27.99,Toys,97.166.113.120
Morse,8/24/2024,Pet Hair Removal Roller,10.99,Pets,38.239.4.107
Ulick,1/15/2025,Maple Oatmeal,2.99,Food - Breakfast,164.145.90.250
Monte,4/23/2025,Insulated Wine Tote,24.99,Accessories,198.119.179.97
Valina,8/27/2024,Spicy Avocado Salsa,4.49,Food - Condiments,47.173.103.24
Dorthea,8/15/2024,Teriyaki Salmon Fillets,9.99,Food - Seafood,106.203.155.225
Marcille,8/3/2024,Organic Green Lentils,3.99,Food - Grocery,123.98.81.18
Nikki,1/17/2025,Spicy Snack Mix,4.99,Food - Snacks,186.247.121.168
Cordie,1/2/2025,Athletic Jogging Jacket,49.99,Clothing - Outerwear,62.69.21.255
Nichol,4/24/2025,Pineapple Chunks (canned),2.29,Food - Fruits,22.88.88.229
Otis,2/7/2025,Ginger Turmeric Tea,3.49,Food - Beverages,69.43.227.118
Deloria,5/12/2025,Vanilla Bean Greek Yogurt,1.99,Food - Dairy,139.175.99.192
Norma,9/5/2024,Roasted Vegetable Medley,3.99,Food - Frozen Foods,229.49.252.194
Dionis,1/10/2025,Brown Rice,1.79,Food - Grains,17.61.31.151
Francine,5/26/2025,Smartphone Car Mount with Wireless Charging,39.99,Automotive,42.87.54.78
Waverley,10/9/2024,Smoky BBQ Jackfruit,4.99,Food - Grocery,194.165.6.120
Dorelle,11/8/2024,Sliced Bell Peppers,3.99,Food - Fresh Produce,136.181.101.28
Kimbra,2/18/2025,Watercolor Paint Set,19.99,Art Supplies,71.201.84.36
Dal,11/10/2024,Tandoori Chicken Skewers,7.99,Food - Meat,119.238.45.136
Carlie,9/21/2024,Scent Diffuser,34.99,Home,170.177.24.213
Shepperd,11/2/2024,Fresh Lemons,0.75,Food - Fresh Produce,166.244.83.217
Rod,1/19/2025,USB Desk Fan,14.99,Home,198.158.46.15
Margeaux,6/24/2025,Laptop Stand,29.99,Accessories,94.59.221.137
Ofilia,1/20/2025,Digital Wireless Meat Thermometer,39.99,Kitchen,151.175.102.194
Shayla,5/18/2025,Cat Tree,99.99,Pets,6.133.99.237
Nadya,4/9/2025,Pasta Maker Machine,59.99,Kitchen,67.5.238.74
Martica,8/13/2024,Smartphone Photography Tripod,29.99,Electronics,101.153.213.214
Grannie,3/13/2025,Camera Tripod,49.99,Photography,168.36.148.147
Chryste,11/20/2024,Plant-Based Protein Bars,19.99,Health,178.56.157.35
Orton,8/10/2024,Sketchbook,14.99,Art Supplies,253.73.49.112
Vernor,5/13/2025,Mango Chili Salsa,4.29,Food - Condiments,51.210.246.199
Kingsly,12/11/2024,Athletic Compression Tights,39.99,Clothing - Activewear,209.31.75.137
Arleen,10/19/2024,Chili Beans (canned),1.69,Food - Canned Goods,238.230.100.15
Tomi,8/8/2024,Silicone Stretch Lids,14.99,Kitchen,183.52.51.31
Ronnica,2/9/2025,Homestyle Chicken Noodle Soup,2.99,Food - Canned Goods,52.144.160.124
Zaneta,7/24/2024,Sweet and Sour Sauce,2.79,Food - Condiments,188.197.9.40
Katharyn,3/5/2025,Corn Tortillas,2.49,Food - Bakery,237.154.113.86
Minette,3/13/2025,Gardening Gloves with Claws,24.99,Garden,7.225.246.179
Sherry,3/11/2025,Creamy Garlic Dressing,3.99,Food - Condiments,184.11.28.29
Elly,11/24/2024,Non-Stick Baking Sheets,29.99,Kitchen,193.230.250.66
Dyanna,7/23/2024,Ice Cream Scoop,12.99,Kitchen,154.11.157.61
Agnesse,11/26/2024,Gluten-Free Brownies,4.99,Food - Baking,169.189.58.185
Appolonia,4/26/2025,Travel Mug with Leak-Proof Lid,24.99,Kitchen,29.187.197.100
Ainsley,6/20/2025,Vegetable Potstickers,5.99,Food - Frozen Food,155.73.133.193
Aguie,7/10/2024,Wrap Jumpsuit,54.99,Clothing - Jumpsuits,34.43.195.222
Brittaney,3/28/2025,Organic Quinoa Salad,5.99,Food - Prepared Meals,150.72.231.72
Demetre,10/12/2024,Applewood Smoked Bacon,6.99,Food - Meat,26.142.142.40
Clementius,10/22/2024,Over-Ear Headphones,59.99,Audio,221.162.214.63
Cybil,7/27/2024,Pasta Primavera,4.99,Food - Frozen Foods,46.142.247.112
Jodie,7/11/2024,Vegan chocolate chip cookies,4.79,Food - Bakery,225.154.121.2
Tedmund,9/25/2024,Chocolate Syrup,2.99,Food - Condiments,181.61.188.150
Ulric,1/20/2025,Pet Carrier Backpack,39.99,Pets,124.185.91.239
Emmaline,6/11/2025,BBQ Sauce,3.49,Food - Condiments,25.183.108.149
Garvy,9/29/2024,Educational STEM Kit,35.99,Toys,238.21.76.197
Dex,2/28/2025,Portable Dog Water Bottle,18.99,Pets,145.202.7.211
Pavlov,12/28/2024,Comfortable Jogger Pants,29.99,Clothing - Bottoms,213.63.245.161
Lira,9/3/2024,Compact Hair Dryer,29.99,Beauty,196.79.105.209
Hurley,11/17/2024,Scented Soy Candles,19.99,Home,72.87.110.249
Daron,9/27/2024,Whole Wheat Pita Bread,2.79,Food - Bread,178.51.5.14
Tymon,1/3/2025,Grass Fed Beef Patties,9.99,Food - Meat,192.131.106.160
Wadsworth,10/7/2024,Spiced Pumpkin Soup,3.99,Food - Canned Soups,1.133.123.218
Aurel,6/21/2025,Lemonade Mix,1.99,Food - Beverages,213.62.33.118
Peggie,9/21/2024,Water Bottle,18.99,Fitness,58.205.55.171
Blanche,6/2/2025,Eco-Friendly Stainless Steel Straws,12.99,Kitchen,111.136.190.48
Irvin,12/22/2024,Cheddar & Bacon Potato Skins,7.49,Food - Frozen,29.43.113.6
Horace,11/23/2024,Multi-Port USB Hub,19.99,Electronics,5.168.235.209
Ezechiel,11/26/2024,Weighted Jump Rope with Counter,14.99,Fitness,125.62.34.199
Olympie,4/22/2025,Warm Wool Sweater,59.99,Clothing - Tops,162.224.233.103
Cal,11/23/2024,Reusable Coffee Filter,10.99,Kitchen,199.101.210.181
Phillis,8/14/2024,Balsamic Fig Dressing,3.79,Food - Condiments,34.4.244.146
Faun,1/14/2025,Smart Air Purifier,199.99,Home,176.13.84.71
Burg,3/2/2025,Coconut Cream Pie Yogurt,1.99,Food - Dairy Alternatives,108.101.46.38
Calley,10/15/2024,Breezy Off-The-Shoulder Top,34.99,Clothing - Tops,38.106.4.42
Pammi,2/21/2025,Basil-infused Olive Oil,6.99,Food - Cooking Oil,125.25.171.55
Maxwell,2/7/2025,Mini Projector for Smartphones,99.99,Electronics,232.144.91.93
Kalie,9/20/2024,Colorful Post-It Notes Set,9.99,Office,237.37.208.166
Laurence,3/31/2025,Reflective Safety Vest,19.99,Safety,1.166.6.33
Leo,7/7/2024,Electric Griddle with Lid,49.99,Kitchen,164.123.4.190
Barrie,5/21/2025,Granola,4.79,Food - Breakfast,198.207.44.150
Tobe,7/20/2024,Chocolate Fudge Brownie Mix,2.99,Food - Baking,43.69.134.36
Berry,1/2/2025,Cat Scratching Post with Toys,44.99,Pets,18.94.33.26
Jolene,2/11/2025,Throw Pillow Covers,22.99,Home,23.30.83.152
Elfrida,12/18/2024,Portable Bluetooth Headphones,79.99,Audio,9.88.157.207
Gertrude,2/6/2025,Pasta Maker,39,Kitchen,86.135.89.158
Letitia,3/3/2025,Fire Roasted Salsa,2.49,Food - Condiments,31.173.76.140
Garland,9/26/2024,Classic Beef Chili,7.99,Food - Canned Goods,165.239.58.46
Klara,5/5/2025,Sesame Garlic Noodles,3.49,Food - Pasta,234.196.131.133
Fran,6/1/2025,Fresh Cilantro,1.49,Food - Produce,107.173.98.238
Justis,2/16/2025,Organic Coconut Flakes,3.49,Food - Baking,204.96.14.169
Ogdan,3/13/2025,Warm Knit Beanie,19.99,Clothing - Accessories,212.11.23.158
Crosby,4/2/2025,Magnetic Spice Containers,24.99,Kitchen,158.107.222.152
Kinsley,12/29/2024,LED Strip Lights,19.99,Home,37.5.46.171
Welch,8/11/2024,Mini Air Purifier,49.99,Health,112.131.61.160
Greta,4/19/2025,Portable Blender,30,Kitchen,131.153.156.222
Millie,4/22/2025,Coconut Milk Yogurt,2.99,Food - Dairy Alternatives,203.114.188.225
Arielle,9/14/2024,Pet Carrier,39.99,Pets,213.212.78.149
Katalin,9/28/2024,Chocolate Fudge Ice Cream,5.99,Food - Frozen Desserts,211.238.87.196
Chelsie,11/30/2024,Pumpkin Spice Granola,4.99,Food - Breakfast,96.221.168.138
Forbes,6/20/2025,Mini Food Processor,39.99,Kitchen,217.55.132.89
Rona,7/2/2025,Pet Bed with Removable Cover,49.99,Pets,129.37.116.243
Bev,3/15/2025,Classic Pumps,64.99,Clothing - Footwear,17.67.202.88
Daffi,7/6/2025,Berries Medley,6.99,Food - Produce,216.228.201.133
Nikaniki,8/18/2024,Wall Calendar,17.99,Home,114.89.249.231
Suzy,6/12/2025,Organic Green Tea,4.29,Food - Beverages,63.88.247.43
Mada,4/18/2025,Self-Watering Planter,24.99,Garden,40.67.40.203
Kirby,4/13/2025,Laundry Detergent,12.99,Food - Household,168.138.130.139
Linzy,5/4/2025,Adjustable Dumbbells,249.99,Fitness,204.34.135.51
Marci,8/1/2024,Garlic Butter Sauce,3.59,Food - Condiments,62.204.216.77
Barth,4/8/2025,Spicy Tuna Salad,4.49,Food - Seafood,86.79.87.189
Waiter,9/8/2024,Personal Security Alarm Keychain,10.99,Safety,250.85.49.64
Swen,4/26/2025,Cucumber,0.99,Food - Produce,26.65.52.233
Jeniece,4/16/2025,Memory Foam Mattress Topper,109.99,Home,2.168.211.255
Gan,10/26/2024,Chickpeas,1.29,Food - Canned Goods,78.43.27.121
Melloney,12/11/2024,Gardening Tool Belt,22.99,Garden,218.223.213.20
Tracy,8/8/2024,Whole Grain Mustard,3.49,Food - Condiments,62.138.84.76
Maris,5/22/2025,Inflatable Party Cooler,19.99,Outdoor,136.196.86.121
Jaclyn,5/27/2025,Pumpkin Waffles,4.49,Food - Breakfast,27.143.109.220
Alexi,12/30/2024,Roasted Garlic,4.29,Food - Condiments,195.83.177.99
Sutton,6/7/2025,Wireless Security Camera,109.99,Home,226.36.70.70
Fowler,1/30/2025,Miso Dressing,3.49,Food - Dressings,126.79.81.231
Red,2/27/2025,Peach Green Tea,3.49,Food - Beverages,245.59.170.160
Selene,2/8/2025,Frozen Berry Medley,5.49,Food - Frozen Foods,98.120.21.95
Zuzana,5/11/2025,Spicy Salsa Verde,3.49,Food - Condiments,150.143.146.214
Hildagard,1/25/2025,Miso Soup Starter,2.99,Food - Soups,98.95.22.163
Vinni,3/13/2025,Smart Air Purifier,199.99,Home,200.230.161.138
Pooh,4/10/2025,Laptop Backpack,69.99,Accessories,38.65.150.221
Roxane,9/18/2024,Pocket Blanket,24.99,Outdoor,134.11.223.233
Hatty,11/24/2024,Puzzle,27.99,Toys,97.174.126.10
Hansiain,11/2/2024,Sports Water Bottle with Infuser,19.99,Fitness,242.92.197.19
Emmit,7/1/2025,Savory Oats,2.49,Food - Breakfast,40.194.157.23
Witty,5/12/2025,Rustic Italian Bread,3.59,Food - Bakery,105.80.22.167
Kate,8/23/2024,Apple Cinnamon Instant Oatmeal,3.49,Food - Cereal,90.140.136.78
Jory,12/7/2024,Couscous,2.49,Food - Grains,43.30.162.241
Barris,8/19/2024,High-Top Leather Boots,99.99,Clothing - Footwear,147.134.230.191
Elsa,10/21/2024,Digital Meat Thermometer,24.99,Kitchen,219.208.74.197
Rivy,5/20/2025,Nutty Quinoa Salad,4.99,Food - Salads,164.11.252.85
Horatius,11/26/2024,Basmati Rice,5.79,Food - Grains,169.243.8.185
Jeana,3/19/2025,Wall-Mounted Organizer,34.99,Home,130.145.62.73
Maud,11/14/2024,Juice Extractor,99.99,Kitchen,29.55.58.132
Rufus,3/16/2025,Organic Lentil Soup,4.99,Food - Soups,236.47.245.107
Ferdinande,2/1/2025,Fitness Jump Rope,15.99,Fitness,67.124.39.168
Laney,1/3/2025,Heavy-Duty Utility Tote,34.99,Accessories,140.23.125.126
Karlens,12/29/2024,Chocolate Chip Cliff Bars,2.49,Food - Snacks,209.159.179.181
Addie,4/19/2025,Organic Coconut Water,2.79,Food - Beverages,250.158.79.112
Valdemar,4/23/2025,Electric Pressure Washer,199.99,Home Improvement,34.127.210.246
Murry,2/1/2025,Elegant Lace Dress,79.99,Clothing - Dresses,0.141.196.190
Lilly,12/27/2024,Solar String Lights,29.99,Outdoor,80.57.107.133
Nichole,12/14/2024,Workstation Laptop Stand,49.99,Office,153.8.243.9
Fredric,1/22/2025,Casual Sneakers,39.99,Clothing - Footwear,172.90.72.184
Hazel,12/17/2024,Wall-Mounted Organizer,34.99,Home,27.252.123.22
Sigfrid,10/3/2024,Fitness Tracker Band,29.99,Fitness,204.19.228.248
Teodor,1/19/2025,Crispy Chickpeas,2.99,Food - Snacks,88.234.188.61
Darb,12/20/2024,Cauliflower Gnocchi,3.59,Food - Frozen Foods,250.55.105.90
Ruby,4/5/2025,Peach Halves (canned),2.49,Food - Canned Goods,215.225.253.108
Olivier,6/8/2025,Portable SSD,129.99,Storage,188.130.172.180
Letta,12/24/2024,Almond Flour Pancake Mix,5.99,Food - Baking,123.155.229.138
Julissa,2/25/2025,Honeycrisp Apple Chips,3.49,Food - Snacks,115.89.155.66
Abba,11/8/2024,Two-Tier Fruit Basket,29.99,Home,101.198.123.188
Clemmie,2/7/2025,Pumpkin Spice Cookies,3.29,Food - Bakery,49.182.212.64
Kaylyn,7/23/2024,Almond Joy Bars,1.29,Food - Confectionery,13.223.167.230
Alvinia,8/16/2024,LED Flashlight,19.99,Outdoor,80.31.222.59
Frederica,3/13/2025,High-Top Leather Boots,99.99,Clothing - Footwear,216.38.2.79
Emelina,10/11/2024,Wall Planner,19.99,Office,38.138.116.168
Fergus,11/20/2024,Bamboo Utensil Holder,14.99,Kitchen,12.200.42.133
Abelard,8/14/2024,Wall Art,45,Home,68.86.180.42
Lem,7/11/2024,Portable Charcoal Grill,89.99,Outdoor,200.206.191.83
Con,9/17/2024,Black Bean Spaghetti,3.99,Food - Pasta,225.97.241.170
Kai,3/1/2025,Cinnamon Sugar Popcorn,2.89,Food - Snacks,145.181.161.162
Johnathon,3/23/2025,Cat Tree,99.99,Pets,39.105.172.173
Lonna,11/28/2024,Durable Hiking Boots,89.99,Footwear,69.45.116.192
Liza,11/24/2024,Pet Hair Vacuum Attachment,14.99,Pets,16.98.253.59
Catina,10/17/2024,Customizable Name Plate,19.99,Office,241.188.52.198
Carny,6/9/2025,Kids' STEM Robotics Kit,59.99,Toys,103.249.42.235
Daisi,7/24/2024,Thermostatic Shower Valve Kit,39.99,Bathroom,49.107.30.115
Martie,7/20/2024,Chia Seeds,6.99,Food - Grains,27.152.129.172
Philis,9/15/2024,Buffalo Chicken Dip,5.99,Food - Dips,47.198.11.15
Erminie,12/5/2024,Smartphone Tripod,29.99,Photography,140.238.8.27
Bram,5/29/2025,Travel Organizer,22.99,Travel,73.199.12.86
Shandee,10/18/2024,Wine Glasses,29.99,Home,21.165.155.104
Christoffer,2/23/2025,Pet Safety Belt for Car,14.99,Pets,136.223.53.204
Jinny,9/22/2024,Sushi Roll Kit,9.99,Food - Cooking Kits,219.89.158.110
Rubina,9/29/2024,Frozen Berry Blend,4.99,Food - Frozen Foods,117.243.141.4
Andree,10/31/2024,Compact Refrigerator,199.99,Home Appliances,42.36.148.207
Vaughn,1/7/2025,Creamy Coleslaw Mix,2.39,Food - Produce,23.198.8.188
Sibley,1/15/2025,Rain Jacket,64.99,Clothing,252.85.34.12
Sonja,7/11/2024,Savory Snack Mix,4.49,Food - Snacks,214.246.233.75
Beatrix,5/27/2025,Flavored Instant Oatmeal,2.99,Food - Breakfast,101.8.5.220
Brander,11/19/2024,Magnetic Curtain Tiebacks,12.99,Home,61.138.44.28
Rickard,12/27/2024,Ranch Dressing,2.59,Food - Condiments,25.253.11.212
